le patient est hugo martin	hugo martin	1.0
le patient est hugo martin	martin hugo	1.0
le patient est hugo martin	dr cohen	0.0
la patiente est hugo martin	hugo martin	1.0
la patiente est hugo martin	martin hugo	1.0
la patiente est hugo martin	10h30	0.0
je repete hugo martin	hugo martin	1.0
je repete hugo martin	martin hugo	1.0
je repete hugo martin	appendicectomie	0.0
martin hugo confirme	hugo martin	1.0
martin hugo confirme	martin hugo	1.0
martin hugo confirme	appendicectomie	0.0
a 10h30	10h30	1.0
a 10h30	fosse iliaque gauche	0.0
prevue a 10h30	10h30	1.0
prevue a 10h30	salle 2	0.0
heure prevue 10h30	10h30	1.0
heure prevue 10h30	dr cohen	0.0
salle 2	salle 2	1.0
salle 2	martin hugo	0.0
bloc 2	salle 2	1.0
bloc 2	dr cohen	0.0
en salle 2	salle 2	1.0
en salle 2	appendicectomie	0.0
chirurgien cohen	dr cohen	1.0
chirurgien cohen	cohen	1.0
chirurgien cohen	10h30	0.0
docteur cohen present	dr cohen	1.0
docteur cohen present	cohen	1.0
docteur cohen present	10h30	0.0
professeur cohen	dr cohen	1.0
professeur cohen	cohen	1.0
professeur cohen	hugo martin	0.0
anesthesiste cohen	dr cohen	1.0
anesthesiste cohen	10h30	0.0
docteur cohen pour anesthesie	dr cohen	1.0
docteur cohen pour anesthesie	hugo martin	0.0
intervention appendicectomie	appendicectomie	1.0
intervention appendicectomie	martin hugo	0.0
on fait une appendicectomie	appendicectomie	1.0
on fait une appendicectomie	salle 2	0.0
site fosse iliaque gauche	fosse iliaque gauche	1.0
site fosse iliaque gauche	martin hugo	0.0
fosse gauche	fosse iliaque gauche	1.0
fosse gauche	cohen	0.0
le patient est hugo cohen	hugo cohen	1.0
le patient est hugo cohen	cohen hugo	1.0
le patient est hugo cohen	dr leroy	0.0
la patiente est hugo cohen	hugo cohen	1.0
la patiente est hugo cohen	cohen hugo	1.0
la patiente est hugo cohen	appendicectomie	0.0
je repete hugo cohen	hugo cohen	1.0
je repete hugo cohen	cohen hugo	1.0
je repete hugo cohen	appendicectomie	0.0
cohen hugo confirme	hugo cohen	1.0
cohen hugo confirme	cohen hugo	1.0
cohen hugo confirme	dr leroy	0.0
a 10h30	10h30	1.0
a 10h30	dr leroy	0.0
prevue a 10h30	10h30	1.0
prevue a 10h30	bloc 3	0.0
heure prevue 10h30	10h30	1.0
heure prevue 10h30	bloc 3	0.0
salle 3	bloc 3	1.0
salle 3	10h30	0.0
bloc 3	bloc 3	1.0
bloc 3	appendicectomie	0.0
en salle 3	bloc 3	1.0
en salle 3	10h30	0.0
chirurgien leroy	dr leroy	1.0
chirurgien leroy	leroy	1.0
chirurgien leroy	10h30	0.0
docteur leroy present	dr leroy	1.0
docteur leroy present	leroy	1.0
docteur leroy present	dr leroy	0.0
professeur leroy	dr leroy	1.0
professeur leroy	leroy	1.0
professeur leroy	cohen hugo	0.0
anesthesiste leroy	dr leroy	1.0
anesthesiste leroy	bloc 3	0.0
docteur leroy pour anesthesie	dr leroy	1.0
docteur leroy pour anesthesie	leroy	0.0
intervention appendicectomie	appendicectomie	1.0
intervention appendicectomie	10h30	0.0
on fait une appendicectomie	appendicectomie	1.0
on fait une appendicectomie	bloc 3	0.0
site fosse iliaque droite	fosse iliaque droite	1.0
site fosse iliaque droite	dr leroy	0.0
fosse droite	fosse iliaque droite	1.0
fosse droite	dr leroy	0.0
le patient est claire nguyen	claire nguyen	1.0
le patient est claire nguyen	nguyen claire	1.0
le patient est claire nguyen	salle 2	0.0
la patiente est claire nguyen	claire nguyen	1.0
la patiente est claire nguyen	nguyen claire	1.0
la patiente est claire nguyen	dr marchand	0.0
je repete claire nguyen	claire nguyen	1.0
je repete claire nguyen	nguyen claire	1.0
je repete claire nguyen	fosse iliaque droite	0.0
nguyen claire confirme	claire nguyen	1.0
nguyen claire confirme	nguyen claire	1.0
nguyen claire confirme	fosse iliaque droite	0.0
a 10:30	10:30	1.0
a 10:30	dr cohen	0.0
prevue a 10:30	10:30	1.0
prevue a 10:30	dr marchand	0.0
heure prevue 10:30	10:30	1.0
heure prevue 10:30	claire nguyen	0.0
salle 2	salle 2	1.0
salle 2	fosse iliaque droite	0.0
bloc 2	salle 2	1.0
bloc 2	dr cohen	0.0
en salle 2	salle 2	1.0
en salle 2	dr marchand	0.0
chirurgien cohen	dr cohen	1.0
chirurgien cohen	cohen	1.0
chirurgien cohen	dr marchand	0.0
docteur cohen present	dr cohen	1.0
docteur cohen present	cohen	1.0
docteur cohen present	dr marchand	0.0
professeur cohen	dr cohen	1.0
professeur cohen	cohen	1.0
professeur cohen	claire nguyen	0.0
anesthesiste cohen	dr marchand	1.0
anesthesiste cohen	cholecystectomie	0.0
docteur cohen pour anesthesie	dr marchand	1.0
docteur cohen pour anesthesie	claire nguyen	0.0
intervention cholecystectomie	cholecystectomie	1.0
intervention cholecystectomie	nguyen claire	0.0
on fait une cholecystectomie	cholecystectomie	1.0
on fait une cholecystectomie	cohen	0.0
site fosse iliaque droite	fosse iliaque droite	1.0
site fosse iliaque droite	cholecystectomie	0.0
fosse droite	fosse iliaque droite	1.0
fosse droite	salle 2	0.0
le patient est nguyen cohen	nguyen cohen	1.0
le patient est nguyen cohen	cohen nguyen	1.0
le patient est nguyen cohen	dr leroy	0.0
la patiente est nguyen cohen	nguyen cohen	1.0
la patiente est nguyen cohen	cohen nguyen	1.0
la patiente est nguyen cohen	11:00	0.0
je repete nguyen cohen	nguyen cohen	1.0
je repete nguyen cohen	cohen nguyen	1.0
je repete nguyen cohen	dr leroy	0.0
cohen nguyen confirme	nguyen cohen	1.0
cohen nguyen confirme	cohen nguyen	1.0
cohen nguyen confirme	cholecystectomie	0.0
a 11:00	11:00	1.0
a 11:00	dr marchand	0.0
prevue a 11:00	11:00	1.0
prevue a 11:00	salle 3	0.0
heure prevue 11:00	11:00	1.0
heure prevue 11:00	dr marchand	0.0
salle 3	salle 3	1.0
salle 3	11:00	0.0
bloc 3	salle 3	1.0
bloc 3	11:00	0.0
en salle 3	salle 3	1.0
en salle 3	nguyen cohen	0.0
chirurgien marchand	dr marchand	1.0
chirurgien marchand	marchand	1.0
chirurgien marchand	nguyen cohen	0.0
docteur marchand present	dr marchand	1.0
docteur marchand present	marchand	1.0
docteur marchand present	nguyen cohen	0.0
professeur marchand	dr marchand	1.0
professeur marchand	marchand	1.0
professeur marchand	11:00	0.0
anesthesiste marchand	dr leroy	1.0
anesthesiste marchand	cholecystectomie	0.0
docteur marchand pour anesthesie	dr leroy	1.0
docteur marchand pour anesthesie	salle 3	0.0
intervention cholecystectomie	cholecystectomie	1.0
intervention cholecystectomie	11:00	0.0
on fait une cholecystectomie	cholecystectomie	1.0
on fait une cholecystectomie	marchand	0.0
site fosse iliaque gauche	fosse iliaque gauche	1.0
site fosse iliaque gauche	cholecystectomie	0.0
fosse gauche	fosse iliaque gauche	1.0
fosse gauche	cholecystectomie	0.0
le patient est paul petit	paul petit	1.0
le patient est paul petit	petit paul	1.0
le patient est paul petit	15:45	0.0
la patiente est paul petit	paul petit	1.0
la patiente est paul petit	petit paul	1.0
la patiente est paul petit	15:45	0.0
je repete paul petit	paul petit	1.0
je repete paul petit	petit paul	1.0
je repete paul petit	dr bernard	0.0
petit paul confirme	paul petit	1.0
petit paul confirme	petit paul	1.0
petit paul confirme	15:45	0.0
a 15:45	15:45	1.0
a 15:45	fosse iliaque gauche	0.0
prevue a 15:45	15:45	1.0
prevue a 15:45	dr bernard	0.0
heure prevue 15:45	15:45	1.0
heure prevue 15:45	bloc 3	0.0
salle 3	bloc 3	1.0
salle 3	fosse iliaque gauche	0.0
